WEEK,LOCATION,SPECIES
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,EB,INCARNATA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,HS,INCARNATA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,TUBEROSA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,TUBEROSA
1,ST,TUBEROSA
1,ST,TUBEROSA
1,ST,TUBEROSA
1,ST,TUBEROSA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,EB,INCARNATA
2,EB,INCARNATA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,TUBEROSA
2,EB,TUBEROSA
2,EB,TUBEROSA
2,EB,TUBEROSA
2,EB,TUBEROSA
2,HS,INCARNATA
2,HS,SYRIACA
2,HS,SYRIACA
2,HS,SYRIACA
2,HS,SYRIACA
2,HS,SYRIACA
2,HS,TUBEROSA
2,HS,TUBEROSA
2,HS,TUBEROSA
2,HS,TUBEROSA
2,HS,TUBEROSA
2,JY,INCARNATA
2,JY,INCARNATA
2,JY,INCARNATA
2,JY,INCARNATA
2,JY,INCARNATA
2,JY,SYRIACA
2,JY,SYRIACA
2,JY,SYRIACA
2,JY,SYRIACA
2,JY,SYRIACA
2,JY,TUBEROSA
2,JY,TUBEROSA
2,JY,TUBEROSA
2,JY,TUBEROSA
2,JY,TUBEROSA
2,LP,INCARNATA
2,LP,INCARNATA
2,LP,INCARNATA
2,LP,INCARNATA
2,LP,INCARNATA
2,LP,SYRIACA
2,LP,SYRIACA
2,LP,SYRIACA
2,LP,SYRIACA
2,LP,SYRIACA
2,LP,TUBEROSA
2,SH,INCARNATA
2,SH,INCARNATA
2,SH,INCARNATA
2,SH,INCARNATA
2,SH,INCARNATA
2,SH,SYRIACA
2,SH,SYRIACA
2,SH,SYRIACA
2,SH,SYRIACA
2,SH,SYRIACA
2,SH,TUBEROSA
2,SH,TUBEROSA
2,SH,TUBEROSA
2,SH,TUBEROSA
2,SH,TUBEROSA
2,ST,INCARNATA
2,ST,INCARNATA
2,ST,INCARNATA
2,ST,INCARNATA
2,ST,INCARNATA
2,ST,SYRIACA
2,ST,SYRIACA
2,ST,SYRIACA
2,ST,SYRIACA
2,ST,SYRIACA
2,ST,TUBEROSA
2,ST,TUBEROSA
2,ST,TUBEROSA
2,ST,TUBEROSA
2,ST,TUBEROSA
2,WE,SYRIACA
2,WE,SYRIACA
2,WE,SYRIACA
2,WE,SYRIACA
2,WE,SYRIACA
2,WE,TUBEROSA
2,WE,TUBEROSA
2,WE,TUBEROSA
2,WE,TUBEROSA
2,WE,TUBEROSA
3,AB,INCARNATA
3,AB,INCARNATA
3,AB,INCARNATA
3,AB,INCARNATA
3,AB,INCARNATA
3,AB,SYRIACA
3,AB,SYRIACA
3,AB,SYRIACA
3,AB,SYRIACA
3,AB,SYRIACA
3,AB,TUBEROSA
3,AB,TUBEROSA
3,AB,TUBEROSA
3,AB,TUBEROSA
3,AB,TUBEROSA
3,AN,INCARNATA
3,AN,INCARNATA
3,AN,INCARNATA
3,AN,INCARNATA
3,AN,INCARNATA
3,AN,SYRIACA
3,AN,SYRIACA
3,AN,SYRIACA
3,AN,SYRIACA
3,AN,SYRIACA
3,AN,TUBEROSA
3,AN,TUBEROSA
3,AN,TUBEROSA
3,AN,TUBEROSA
3,AN,TUBEROSA
3,AW,INCARNATA
3,AW,INCARNATA
3,AW,INCARNATA
3,AW,INCARNATA
3,AW,INCARNATA
3,AW,SYRIACA
3,AW,SYRIACA
3,AW,SYRIACA
3,AW,SYRIACA
3,AW,SYRIACA
3,AW,TUBEROSA
3,AW,TUBEROSA
3,AW,TUBEROSA
3,AW,TUBEROSA
3,AW,TUBEROSA
3,EB,INCARNATA
3,EB,INCARNATA
3,EB,SYRIACA
3,EB,SYRIACA
3,EB,SYRIACA
3,EB,SYRIACA
3,EB,SYRIACA
3,EB,TUBEROSA
3,EB,TUBEROSA
3,EB,TUBEROSA
3,EB,TUBEROSA
3,EB,TUBEROSA
3,HS,INCARNATA
3,HS,SYRIACA
3,HS,SYRIACA
3,HS,SYRIACA
3,HS,SYRIACA
3,HS,SYRIACA
3,HS,TUBEROSA
3,HS,TUBEROSA
3,HS,TUBEROSA
3,HS,TUBEROSA
3,HS,TUBEROSA
3,JY,INCARNATA
3,JY,INCARNATA
3,JY,INCARNATA
3,JY,INCARNATA
3,JY,INCARNATA
3,JY,SYRIACA
3,JY,SYRIACA
3,JY,SYRIACA
3,JY,SYRIACA
3,JY,SYRIACA
3,JY,TUBEROSA
3,JY,TUBEROSA
3,JY,TUBEROSA
3,JY,TUBEROSA
3,JY,TUBEROSA
3,LP,INCARNATA
3,LP,INCARNATA
3,LP,INCARNATA
3,LP,INCARNATA
3,LP,INCARNATA
3,LP,SYRIACA
3,LP,SYRIACA
3,LP,SYRIACA
3,LP,SYRIACA
3,LP,SYRIACA
3,LP,TUBEROSA
3,SH,INCARNATA
3,SH,INCARNATA
3,SH,INCARNATA
3,SH,INCARNATA
3,SH,INCARNATA
3,SH,SYRIACA
3,SH,SYRIACA
3,SH,SYRIACA
3,SH,SYRIACA
3,SH,SYRIACA
3,SH,TUBEROSA
3,SH,TUBEROSA
3,SH,TUBEROSA
3,SH,TUBEROSA
3,SH,TUBEROSA
3,ST,INCARNATA
3,ST,INCARNATA
3,ST,INCARNATA
3,ST,INCARNATA
3,ST,INCARNATA
3,ST,SYRIACA
3,ST,SYRIACA
3,ST,SYRIACA
3,ST,SYRIACA
3,ST,SYRIACA
3,ST,TUBEROSA
3,ST,TUBEROSA
3,ST,TUBEROSA
3,ST,TUBEROSA
3,ST,TUBEROSA
3,WE,SYRIACA
3,WE,SYRIACA
3,WE,SYRIACA
3,WE,SYRIACA
3,WE,SYRIACA
3,WE,TUBEROSA
3,WE,TUBEROSA
3,WE,TUBEROSA
3,WE,TUBEROSA
3,WE,TUBEROSA
4,AB,INCARNATA
4,AB,INCARNATA
4,AB,INCARNATA
4,AB,INCARNATA
4,AB,INCARNATA
4,AB,SYRIACA
4,AB,SYRIACA
4,AB,SYRIACA
4,AB,SYRIACA
4,AB,SYRIACA
4,AB,TUBEROSA
4,AB,TUBEROSA
4,AB,TUBEROSA
4,AB,TUBEROSA
4,AB,TUBEROSA
4,AN,INCARNATA
4,AN,INCARNATA
4,AN,INCARNATA
4,AN,INCARNATA
4,AN,INCARNATA
4,AN,SYRIACA
4,AN,SYRIACA
4,AN,SYRIACA
4,AN,SYRIACA
4,AN,SYRIACA
4,AN,TUBEROSA
4,AN,TUBEROSA
4,AN,TUBEROSA
4,AN,TUBEROSA
4,AN,TUBEROSA
4,AW,INCARNATA
4,AW,INCARNATA
4,AW,INCARNATA
4,AW,INCARNATA
4,AW,INCARNATA
4,AW,SYRIACA
4,AW,SYRIACA
4,AW,SYRIACA
4,AW,SYRIACA
4,AW,SYRIACA
4,AW,TUBEROSA
4,AW,TUBEROSA
4,AW,TUBEROSA
4,AW,TUBEROSA
4,AW,TUBEROSA
4,EB,INCARNATA
4,EB,INCARNATA
4,EB,SYRIACA
4,EB,SYRIACA
4,EB,SYRIACA
4,EB,SYRIACA
4,EB,SYRIACA
4,EB,TUBEROSA
4,EB,TUBEROSA
4,EB,TUBEROSA
4,EB,TUBEROSA
4,EB,TUBEROSA
4,HS,INCARNATA
4,HS,SYRIACA
4,HS,SYRIACA
4,HS,SYRIACA
4,HS,SYRIACA
4,HS,SYRIACA
4,HS,TUBEROSA
4,HS,TUBEROSA
4,HS,TUBEROSA
4,HS,TUBEROSA
4,HS,TUBEROSA
4,JY,INCARNATA
4,JY,INCARNATA
4,JY,INCARNATA
4,JY,INCARNATA
4,JY,INCARNATA
4,JY,SYRIACA
4,JY,SYRIACA
4,JY,SYRIACA
4,JY,SYRIACA
4,JY,SYRIACA
4,JY,TUBEROSA
4,JY,TUBEROSA
4,JY,TUBEROSA
4,JY,TUBEROSA
4,JY,TUBEROSA
4,LP,INCARNATA
4,LP,INCARNATA
4,LP,INCARNATA
4,LP,INCARNATA
4,LP,INCARNATA
4,LP,SYRIACA
4,LP,SYRIACA
4,LP,SYRIACA
4,LP,SYRIACA
4,LP,SYRIACA
4,LP,TUBEROSA
4,SH,INCARNATA
4,SH,INCARNATA
4,SH,INCARNATA
4,SH,INCARNATA
4,SH,INCARNATA
4,SH,SYRIACA
4,SH,SYRIACA
4,SH,SYRIACA
4,SH,SYRIACA
4,SH,SYRIACA
4,SH,TUBEROSA
4,SH,TUBEROSA
4,SH,TUBEROSA
4,SH,TUBEROSA
4,SH,TUBEROSA
4,ST,INCARNATA
4,ST,INCARNATA
4,ST,INCARNATA
4,ST,INCARNATA
4,ST,INCARNATA
4,ST,SYRIACA
4,ST,SYRIACA
4,ST,SYRIACA
4,ST,SYRIACA
4,ST,SYRIACA
4,ST,TUBEROSA
4,ST,TUBEROSA
4,ST,TUBEROSA
4,ST,TUBEROSA
4,ST,TUBEROSA
4,WE,SYRIACA
4,WE,SYRIACA
4,WE,SYRIACA
4,WE,SYRIACA
4,WE,SYRIACA
4,WE,TUBEROSA
4,WE,TUBEROSA
4,WE,TUBEROSA
4,WE,TUBEROSA
4,WE,TUBEROSA
5,AB,INCARNATA
5,AB,INCARNATA
5,AB,INCARNATA
5,AB,INCARNATA
5,AB,INCARNATA
5,AB,SYRIACA
5,AB,SYRIACA
5,AB,SYRIACA
5,AB,SYRIACA
5,AB,SYRIACA
5,AB,TUBEROSA
5,AB,TUBEROSA
5,AB,TUBEROSA
5,AB,TUBEROSA
5,AB,TUBEROSA
5,AN,INCARNATA
5,AN,INCARNATA
5,AN,INCARNATA
5,AN,INCARNATA
5,AN,INCARNATA
5,AN,SYRIACA
5,AN,SYRIACA
5,AN,SYRIACA
5,AN,SYRIACA
5,AN,SYRIACA
5,AN,TUBEROSA
5,AN,TUBEROSA
5,AN,TUBEROSA
5,AN,TUBEROSA
5,AN,TUBEROSA
5,AW,INCARNATA
5,AW,INCARNATA
5,AW,INCARNATA
5,AW,INCARNATA
5,AW,INCARNATA
5,AW,SYRIACA
5,AW,SYRIACA
5,AW,SYRIACA
5,AW,SYRIACA
5,AW,SYRIACA
5,AW,TUBEROSA
5,AW,TUBEROSA
5,AW,TUBEROSA
5,AW,TUBEROSA
5,AW,TUBEROSA
5,EB,INCARNATA
5,EB,INCARNATA
5,EB,SYRIACA
5,EB,SYRIACA
5,EB,SYRIACA
5,EB,SYRIACA
5,EB,SYRIACA
5,EB,TUBEROSA
5,EB,TUBEROSA
5,EB,TUBEROSA
5,EB,TUBEROSA
5,EB,TUBEROSA
5,HS,INCARNATA
5,HS,SYRIACA
5,HS,SYRIACA
5,HS,SYRIACA
5,HS,SYRIACA
5,HS,SYRIACA
5,HS,TUBEROSA
5,HS,TUBEROSA
5,HS,TUBEROSA
5,HS,TUBEROSA
5,HS,TUBEROSA
5,JY,INCARNATA
5,JY,INCARNATA
5,JY,INCARNATA
5,JY,INCARNATA
5,JY,INCARNATA
5,JY,SYRIACA
5,JY,SYRIACA
5,JY,SYRIACA
5,JY,SYRIACA
5,JY,SYRIACA
5,JY,TUBEROSA
5,JY,TUBEROSA
5,JY,TUBEROSA
5,JY,TUBEROSA
5,JY,TUBEROSA
5,LP,INCARNATA
5,LP,INCARNATA
5,LP,INCARNATA
5,LP,INCARNATA
5,LP,INCARNATA
5,LP,SYRIACA
5,LP,SYRIACA
5,LP,SYRIACA
5,LP,SYRIACA
5,LP,SYRIACA
5,LP,TUBEROSA
5,SH,INCARNATA
5,SH,INCARNATA
5,SH,INCARNATA
5,SH,INCARNATA
5,SH,INCARNATA
5,SH,SYRIACA
5,SH,SYRIACA
5,SH,SYRIACA
5,SH,SYRIACA
5,SH,SYRIACA
5,SH,TUBEROSA
5,SH,TUBEROSA
5,SH,TUBEROSA
5,SH,TUBEROSA
5,SH,TUBEROSA
5,ST,INCARNATA
5,ST,INCARNATA
5,ST,INCARNATA
5,ST,INCARNATA
5,ST,INCARNATA
5,ST,SYRIACA
5,ST,SYRIACA
5,ST,SYRIACA
5,ST,SYRIACA
5,ST,SYRIACA
5,ST,TUBEROSA
5,ST,TUBEROSA
5,ST,TUBEROSA
5,ST,TUBEROSA
5,ST,TUBEROSA
5,WE,SYRIACA
5,WE,SYRIACA
5,WE,SYRIACA
5,WE,SYRIACA
5,WE,SYRIACA
5,WE,TUBEROSA
5,WE,TUBEROSA
5,WE,TUBEROSA
5,WE,TUBEROSA
5,WE,TUBEROSA
6,AB,INCARNATA
6,AB,INCARNATA
6,AB,INCARNATA
6,AB,INCARNATA
6,AB,INCARNATA
6,AB,SYRIACA
6,AB,SYRIACA
6,AB,SYRIACA
6,AB,SYRIACA
6,AB,SYRIACA
6,AB,TUBEROSA
6,AB,TUBEROSA
6,AB,TUBEROSA
6,AB,TUBEROSA
6,AB,TUBEROSA
6,AN,INCARNATA
6,AN,INCARNATA
6,AN,INCARNATA
6,AN,INCARNATA
6,AN,INCARNATA
6,AN,SYRIACA
6,AN,SYRIACA
6,AN,SYRIACA
6,AN,SYRIACA
6,AN,SYRIACA
6,AN,TUBEROSA
6,AN,TUBEROSA
6,AN,TUBEROSA
6,AN,TUBEROSA
6,AN,TUBEROSA
6,AW,INCARNATA
6,AW,INCARNATA
6,AW,INCARNATA
6,AW,INCARNATA
6,AW,INCARNATA
6,AW,SYRIACA
6,AW,SYRIACA
6,AW,SYRIACA
6,AW,SYRIACA
6,AW,SYRIACA
6,AW,TUBEROSA
6,AW,TUBEROSA
6,AW,TUBEROSA
6,AW,TUBEROSA
6,AW,TUBEROSA
6,EB,INCARNATA
6,EB,INCARNATA
6,EB,SYRIACA
6,EB,SYRIACA
6,EB,SYRIACA
6,EB,SYRIACA
6,EB,SYRIACA
6,EB,TUBEROSA
6,EB,TUBEROSA
6,EB,TUBEROSA
6,EB,TUBEROSA
6,EB,TUBEROSA
6,HS,INCARNATA
6,HS,SYRIACA
6,HS,SYRIACA
6,HS,SYRIACA
6,HS,SYRIACA
6,HS,SYRIACA
6,HS,TUBEROSA
6,HS,TUBEROSA
6,HS,TUBEROSA
6,HS,TUBEROSA
6,HS,TUBEROSA
6,JY,INCARNATA
6,JY,INCARNATA
6,JY,INCARNATA
6,JY,INCARNATA
6,JY,INCARNATA
6,JY,SYRIACA
6,JY,SYRIACA
6,JY,SYRIACA
6,JY,SYRIACA
6,JY,SYRIACA
6,JY,TUBEROSA
6,JY,TUBEROSA
6,JY,TUBEROSA
6,JY,TUBEROSA
6,JY,TUBEROSA
6,LP,INCARNATA
6,LP,INCARNATA
6,LP,INCARNATA
6,LP,INCARNATA
6,LP,INCARNATA
6,LP,SYRIACA
6,LP,SYRIACA
6,LP,SYRIACA
6,LP,SYRIACA
6,LP,SYRIACA
6,LP,TUBEROSA
6,SH,INCARNATA
6,SH,INCARNATA
6,SH,INCARNATA
6,SH,INCARNATA
6,SH,INCARNATA
6,SH,SYRIACA
6,SH,SYRIACA
6,SH,SYRIACA
6,SH,SYRIACA
6,SH,SYRIACA
6,SH,TUBEROSA
6,SH,TUBEROSA
6,SH,TUBEROSA
6,SH,TUBEROSA
6,SH,TUBEROSA
6,ST,INCARNATA
6,ST,INCARNATA
6,ST,INCARNATA
6,ST,INCARNATA
6,ST,INCARNATA
6,ST,SYRIACA
6,ST,SYRIACA
6,ST,SYRIACA
6,ST,SYRIACA
6,ST,SYRIACA
6,ST,TUBEROSA
6,ST,TUBEROSA
6,ST,TUBEROSA
6,ST,TUBEROSA
6,ST,TUBEROSA
6,WE,SYRIACA
6,WE,SYRIACA
6,WE,SYRIACA
6,WE,SYRIACA
6,WE,SYRIACA
6,WE,TUBEROSA
6,WE,TUBEROSA
6,WE,TUBEROSA
6,WE,TUBEROSA
6,WE,TUBEROSA
7,AB,INCARNATA
7,AB,INCARNATA
7,AB,INCARNATA
7,AB,INCARNATA
7,AB,INCARNATA
7,AB,SYRIACA
7,AB,SYRIACA
7,AB,SYRIACA
7,AB,SYRIACA
7,AB,SYRIACA
7,AB,TUBEROSA
7,AB,TUBEROSA
7,AB,TUBEROSA
7,AB,TUBEROSA
7,AB,TUBEROSA
7,AN,INCARNATA
7,AN,INCARNATA
7,AN,INCARNATA
7,AN,INCARNATA
7,AN,INCARNATA
7,AN,SYRIACA
7,AN,SYRIACA
7,AN,SYRIACA
7,AN,SYRIACA
7,AN,SYRIACA
7,AN,TUBEROSA
7,AN,TUBEROSA
7,AN,TUBEROSA
7,AN,TUBEROSA
7,AN,TUBEROSA
7,AW,INCARNATA
7,AW,INCARNATA
7,AW,INCARNATA
7,AW,INCARNATA
7,AW,INCARNATA
7,AW,SYRIACA
7,AW,SYRIACA
7,AW,SYRIACA
7,AW,SYRIACA
7,AW,SYRIACA
7,AW,TUBEROSA
7,AW,TUBEROSA
7,AW,TUBEROSA
7,AW,TUBEROSA
7,AW,TUBEROSA
7,EB,INCARNATA
7,EB,INCARNATA
7,EB,INCARNATA
7,EB,INCARNATA
7,EB,SYRIACA
7,EB,SYRIACA
7,EB,SYRIACA
7,EB,SYRIACA
7,EB,SYRIACA
7,EB,TUBEROSA
7,EB,TUBEROSA
7,EB,TUBEROSA
7,EB,TUBEROSA
7,EB,TUBEROSA
7,HS,INCARNATA
7,HS,SYRIACA
7,HS,SYRIACA
7,HS,SYRIACA
7,HS,SYRIACA
7,HS,SYRIACA
7,HS,TUBEROSA
7,HS,TUBEROSA
7,HS,TUBEROSA
7,HS,TUBEROSA
7,HS,TUBEROSA
7,JY,INCARNATA
7,JY,INCARNATA
7,JY,INCARNATA
7,JY,INCARNATA
7,JY,INCARNATA
7,JY,SYRIACA
7,JY,SYRIACA
7,JY,SYRIACA
7,JY,SYRIACA
7,JY,SYRIACA
7,JY,TUBEROSA
7,JY,TUBEROSA
7,JY,TUBEROSA
7,JY,TUBEROSA
7,JY,TUBEROSA
